videoID,question,options,answer_letter,answer_text,answer_num,frame_reasoning,is_wrong,recoverable
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",A,eight,8,"['1', '4 goats', '5 goats', 'there are 3 goats in the picture', '3 goats', 'there are 3 goats in the picture', '4 goats', '3 goats']",True,False
3206694342,how many people are on stage,"{'A': 'one', 'B': 'six', 'C': 'three', 'D': 'five', 'E': 'seven'}",B,six,6,"['4 people on stage', '6', '6', 'there are 5 people on stage', 'there are 5 people on stage', '5', '5', '5']",True,True
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",C,six,6,"['1', '2', '2', '1', '1', '3', '2', '1']",True,False
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",C,two,2,"['1 dog', '0', '1', '1', '1 dog', '2 dogs', '1', '1']",True,True
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",E,three,3,"['1', '1', '1', '1', '1', '1', '1', '1']",True,False
4036955771,how many performers are there,"{'A': 'six', 'B': 'seven', 'C': 'eleven', 'D': 'eight', 'E': 'five'}",B,seven,7,"['there are 8 performers', '8', '8', 'there are 8 performers', 'there are 8 performers', '6', 'there are 8 performers', '10']",True,False
6265968082,how many people are performing on stage,"{'A': 'four', 'B': 'one', 'C': 'five', 'D': 'three', 'E': 'nine'}",A,four,4,"['there are 4 people on stage', 'there are 3 people on stage', '1', 'there are two people performing on stage', 'there are 3 people on stage', '1', 'there are 3 people on stage', '2']",True,True
2573424030,how many people in total are there in the video,"{'A': 'six', 'B': 'one', 'C': 'two', 'D': 'five', 'E': 'seven'}",E,seven,7,"['there are 5 people in the video', 'there are 12 people in the video', 'there are 2 people in the video', 'there are 3 people in the video', 'there are 2 people in the video', 'there are 2 people in the frame', 'there are 2 people in the video', 'there is 1 person in the video']",True,False
5017166671,how many pople are on stage,"{'A': 'nine', 'B': 'six', 'C': 'three', 'D': 'two', 'E': 'four'}",E,four,4,"['there are 4 people on stage', 'there are 4 people on stage', 'there are 4 people on stage', 'there are 4 people on stage', 'there are 5 people on stage', 'there are 4 people on stage', 'there are 4 people on stage', 'there are 4 people on stage']",True,True
8225502382,how many times does the man in dark green attempt to go up the slope,"{'A': 'one', 'B': 'eight', 'C': 'five', 'D': 'three', 'E': 'twelve'}",C,five,5,"['1', '1', 'The man in dark green is attempting to go up the slope.', '1', 'The man in dark green is attempting to go up the slope.', 'The man in dark green is attempting to go up the slope.', '1', 'The man in dark green is attempting to go up the slope.']",True,False
4444192938,how many kids are there at the area,"{'A': 'one', 'B': 'four', 'C': 'nine', 'D': 'two', 'E': 'three'}",E,three,3,"['3', '3', '3', 'there are 2 kids at the area', 'there are 2 kids at the area', 'there are 2 kids at the area', '1', '1']",True,True
5235909148,how many people are in the video,"{'A': 'three', 'B': 'six', 'C': 'one', 'D': 'four', 'E': 'eight'}",D,four,4,"['there are 2 people in the video', '0', '1', '1', 'there are 2 people in the video', 'there are 2 people in the video', 'there are 2 people in the video', 'there are 3 people in the video']",True,False
9208803675,how many people are on the swing in the video,"{'A': 'five', 'B': 'one', 'C': 'six', 'D': 'two', 'E': 'eight'}",D,two,2,"['there are 3 people on the swing in the video', 'there are 5 people on the swing in the video', 'there are 3 people on the swing in the video', 'there are 3 people on the swing in the video', 'there are 5 people on the swing in the video', 'there are 3 people on the swing in the video', 'there are 4 people on the swing in the video', 'there are 4 people on the swing in the video']",True,False
4636208292,how many people are cheering their glasses at the end,"{'A': 'five', 'B': 'three', 'C': 'four', 'D': 'seven', 'E': 'one'}",C,four,4,"['1', '1', '1', '1', '1', '1', '1', '1']",True,False
7887764754,how many people are involved in the video,"{'A': 'four', 'B': 'six', 'C': 'three', 'D': 'one', 'E': 'two'}",D,one,1,"['there are two people involved in the video', 'there are two people involved in the video', 'there are two people involved in the video', 'there are two people involved in the video', 'there are two people involved in the video', 'there is 1 person in the video', 'there are two people involved in the video', 'there are two people involved in the video']",True,True
3469864014,how many cats were there,"{'A': 'three', 'B': 'two', 'C': 'four', 'D': 'one', 'E': 'five'}",B,two,2,"['1', '1', '1', '1', '1', '1', '1', '1']",True,False
