videoID,question,options,baseline_prediction,answer,reasoning_output,frame_reasoning_predictions,reasoning_prediction,correct,num_frames,inference_time_sec
3972259774,how many people are filmed by the camera,"{'A': 'one', 'B': 'five', 'C': 'six', 'D': 'seven', 'E': 'two'}",B,B,"['A', 'A. one', 'B', 'B', 'B', 'B', 'B', 'B']","['A', 'A', 'B', 'B', 'B', 'B', 'B', 'B']",B,1,8,17.231491088867188
5919180502,how many people are sitting at the ledge of the swimming pool,"{'A': 'six', 'B': 'four', 'C': 'two', 'D': 'eight', 'E': 'seven'}",C,C,"['C', 'C', 'C', 'C', 'There are no people sitting at the ledge of the swimming pool.', 'C', 'C', 'C']","['C', 'C', 'C', 'C', None, 'C', 'C', 'C']",C,1,8,8.258056879043579
4123915842,how was the girl dressed up,"{'A': 'move her body', 'B': 'winter clothes', 'C': 'wear kimono', 'D': 'follow a routine', 'E': 'tshirt'}",C,C,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",C,1,8,7.915513515472412
4650556666,how did the child keep his feet warm,"{'A': 'wear thick clothes', 'B': 'covered with blanket', 'C': 'long sleeve clothing', 'D': 'wear socks', 'E': 'winter clothing'}",D,D,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",D,1,8,7.950707912445068
2973331780,what is the possible relationship between the lady in black and the lady with blonde hair,"{'A': 'train trainee', 'B': 'friends', 'C': 'teacher student', 'D': 'mother and daughter', 'E': 'colleagues'}",B,B,"['B', 'B', 'The lady in black is standing in front of the lady with blonde hair.', 'B', 'The lady in black is holding a microphone and the lady with blonde hair is wearing a white shirt. Answer: B', 'The lady in black is holding a microphone and the lady with blonde hair is wearing a white shirt. Answer: B', 'The lady in black is wearing headphones.', 'B']","['B', 'B', None, 'B', 'B', 'B', None, 'B']",B,1,8,10.05578351020813
4166942239,what is the man in red trying to show the man in the suit,"{'A': 'dance move', 'B': 'wine', 'C': 'a cup', 'D': 'his laptop', 'E': 'his new shoes'}",A,A,"['C', 'A. dance move', 'A. dance move', 'A. dance move', 'A. dance move', 'A. dance move', 'A. dance move', 'A. dance move']","['C', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,1,8,8.690159320831299
3562017845,what animals are these,"{'A': 'tigers', 'B': 'dogs', 'C': 'cats', 'D': 'elephants', 'E': 'birds'}",E,E,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']","['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",E,1,8,8.833611011505127
8171216955,what is the relationship between the two children,"{'A': 'school mates', 'B': 'friends', 'C': 'sport team mates', 'D': 'band member', 'E': 'siblings'}",E,E,"['A young girl is playing with a toy dog.', 'E', 'E', 'A', 'A little girl is playing a game with a little boy.', 'A', 'E', 'E']","['A', 'E', 'E', 'A', 'A', 'A', 'E', 'E']",A,0,8,8.637624025344849
2679328607,where are the people hanging out,"{'A': 'water fountain', 'B': 'classroom', 'C': 'car', 'D': 'forest trail', 'E': 'house'}",E,E,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']","['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",E,1,8,8.892602920532227
3049351381,where are the people hanging out,"{'A': 'park', 'B': 'ancient site', 'C': 'living room', 'D': 'forest trail', 'E': 'studio'}",C,C,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",C,1,8,9.104870796203613
3218498932,where could this be happening,"{'A': 'dining room', 'B': 'restaurant', 'C': 'living room', 'D': 'shop', 'E': 'front porch'}",C,C,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",C,1,8,9.515393495559692
11566930393,where could this be happening,"{'A': 'farm', 'B': 'dining room', 'C': 'living room', 'D': 'zoo', 'E': 'garden'}",C,C,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",C,1,8,9.616376876831055
