image,target_class,gt_count,pred_count,parse_ok,n_attempts,raw_first,raw_final,raws
0000001_02999_d_0000005.jpg,car,7,10,True,1,10,10,['10']
0000001_03499_d_0000006.jpg,awning-tricycle,1,0,True,1,0,0,['0']
0000001_03999_d_0000007.jpg,motor,5,4,True,1,4,4,['4']
0000001_04527_d_0000008.jpg,motor,1,0,True,1,0,0,['0']
0000001_05249_d_0000009.jpg,car,39,100,True,2,"There are many cars in this image, but I cannot provide an exact number without seeing the image.",100,"['There are many cars in this image, but I cannot provide an exact number without seeing the image.', '100']"
0000001_05499_d_0000010.jpg,van,4,0,True,1,0,0,['0']
0000001_05999_d_0000011.jpg,motor,1,0,True,1,0,0,['0']
0000001_07999_d_0000012.jpg,tricycle,3,0,True,1,0,0,['0']
0000001_08414_d_0000013.jpg,car,17,10,True,1,10,10,['10']
0000021_00000_d_0000001.jpg,people,2,10,True,1,10,10,['10']
0000021_00500_d_0000002.jpg,pedestrian,2,2,True,1,2,2,['2']
0000021_00800_d_0000003.jpg,pedestrian,2,2,True,1,2,2,['2']
0000022_00000_d_0000004.jpg,pedestrian,7,10,True,1,10,10,['10']
0000022_00500_d_0000005.jpg,pedestrian,6,50,True,2,"There are many pedestrians in this image, but I cannot provide an exact number without seeing the image.",50,"['There are many pedestrians in this image, but I cannot provide an exact number without seeing the image.', '50']"
0000022_01036_d_0000006.jpg,pedestrian,8,10,True,1,10,10,['10']
0000022_01251_d_0000007.jpg,motor,2,0,True,1,0,0,['0']
0000023_00000_d_0000008.jpg,pedestrian,6,10,True,1,10,10,['10']
0000023_00300_d_0000009.jpg,people,5,20,True,1,20,20,['20']
0000023_00868_d_0000010.jpg,pedestrian,10,10,True,1,10,10,['10']
0000023_01233_d_0000011.jpg,motor,2,0,True,1,0,0,['0']
0000024_00000_d_0000012.jpg,pedestrian,9,10,True,1,10,10,['10']
0000024_00500_d_0000013.jpg,motor,3,0,True,1,0,0,['0']
0000024_01000_d_0000014.jpg,pedestrian,3,5,True,1,5,5,['5']
0000024_01543_d_0000015.jpg,pedestrian,7,5,True,1,5,5,['5']
0000026_00000_d_0000024.jpg,van,1,1,True,1,1,1,['1']
0000026_00500_d_0000025.jpg,car,10,10,True,1,10,10,['10']
0000026_01000_d_0000026.jpg,motor,2,0,True,1,0,0,['0']
0000026_01500_d_0000027.jpg,pedestrian,1,1,True,1,1,1,['1']
0000026_02000_d_0000028.jpg,car,9,10,True,1,10,10,['10']
0000026_02500_d_0000029.jpg,van,2,0,True,1,0,0,['0']
0000026_03000_d_0000030.jpg,van,1,1,True,1,1,1,['1']
0000026_03500_d_0000031.jpg,pedestrian,1,1,True,1,1,1,['1']
0000026_04000_d_0000032.jpg,car,12,20,True,2,"There are many cars in this image, but I cannot provide an exact number without seeing the image.",20,"['There are many cars in this image, but I cannot provide an exact number without seeing the image.', '20']"
0000026_04500_d_0000033.jpg,tricycle,1,0,True,1,0,0,['0']
0000026_04978_d_0000034.jpg,truck,1,0,True,1,0,0,['0']
0000055_00000_d_0000109.jpg,people,18,50,True,2,Many,50,"['Many', '50']"
0000055_00714_d_0000110.jpg,motor,13,0,True,1,0,0,['0']
0000069_00001_d_0000001.jpg,motor,3,0,True,1,0,0,['0']
0000069_00483_d_0000002.jpg,people,3,20,True,1,20,20,['20']
0000069_00713_d_0000003.jpg,pedestrian,23,20,True,2,"There are many people in the image, but I cannot provide an exact number without seeing the photo.",20,"['There are many people in the image, but I cannot provide an exact number without seeing the photo.', '20']"
0000069_01109_d_0000004.jpg,motor,2,1,True,1,1,1,['1']
0000069_01878_d_0000005.jpg,bicycle,1,0,True,1,0,0,['0']
0000069_02163_d_0000006.jpg,tricycle,1,0,True,1,0,0,['0']
0000069_02480_d_0000007.jpg,car,10,0,True,1,0,0,['0']
